Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,T,P,WS
2014-03-21,2,2,2,0,1,1,5,0,0,0,1,0,0,4,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,2,0,0,1,0,0,0,1,1,1,6,1,2,31.0,0.0,14.0
2014-03-22,4,2,0,1,2,0,1,1,2,1,1,0,0,1,0,2,0,3,0,2,0,0,0,2,0,8,0,2,5,1,0,4,2,1,0,1,0,0,3,2,4,4,0,0,0,5,4,4,3,3,31.0,0.0,14.0
2014-03-23,1,1,0,0,1,1,6,1,1,1,6,2,0,3,1,0,1,0,1,0,0,0,0,0,2,6,1,1,1,7,2,0,0,3,0,2,0,0,0,0,0,5,0,2,0,0,0,3,0,3,31.0,0.0,14.0
2014-03-24,2,0,0,0,0,0,3,1,1,2,0,2,0,2,0,0,2,0,1,0,2,0,1,0,0,0,0,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,5,0,0,31.0,0.0,14.0
2014-03-25,1,0,0,0,0,0,5,0,0,2,3,0,0,0,0,0,5,1,1,0,1,1,1,0,1,2,0,3,1,2,0,3,2,1,0,0,0,2,1,0,0,1,0,0,1,0,4,6,0,0,31.0,0.0,14.0
2014-03-26,3,1,0,1,0,0,4,1,1,1,3,1,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,31.0,0.0,14.0
2014-03-27,3,0,0,1,1,0,6,1,1,2,1,1,0,2,0,0,0,1,0,0,0,0,0,2,1,5,1,1,3,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,1,6,0,0,31.0,0.0,14.0
2014-03-28,3,2,0,0,0,1,9,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,2,4,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,1,9,0,1,31.0,0.0,14.0
2014-03-29,0,0,1,0,3,1,1,1,0,1,1,0,0,4,1,2,0,3,2,0,0,0,1,1,0,0,0,1,2,2,1,1,4,3,1,0,0,0,2,0,1,2,0,1,0,1,0,2,0,1,31.0,0.0,14.0
2014-03-30,2,0,1,0,2,0,2,0,1,0,3,1,0,4,0,2,2,5,1,1,1,0,0,3,1,6,0,1,4,3,1,3,2,4,2,0,0,1,0,1,0,2,0,1,0,2,0,3,0,1,31.0,0.0,14.0
2014-03-31,2,0,0,0,1,0,5,1,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,8,0,1,1,0,0,0,0,2,0,0,8,0,0,31.0,0.0,14.0
2014-04-01,1,0,0,0,1,0,6,1,0,2,2,0,0,2,1,0,5,1,4,1,0,2,0,3,0,2,0,2,1,1,1,0,0,1,0,1,0,2,0,0,3,0,0,0,1,0,1,6,0,1,31.0,0.0,14.0
2014-04-02,3,1,0,0,0,0,7,1,0,1,1,2,0,3,0,0,0,0,2,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,5,1,0,0,1,0,0,0,1,1,0,5,0,0,31.0,0.0,14.0
2014-04-03,1,0,0,0,0,0,8,0,1,2,1,1,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,1,3,0,1,0,1,2,1,0,2,0,0,0,3,0,0,0,1,0,0,3,0,0,31.0,0.0,14.0
2014-04-04,3,0,0,1,0,1,9,1,3,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,3,2,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,1,4,0,3,0,0,31.0,0.0,14.0
2014-04-05,2,1,1,1,3,1,3,4,0,0,5,2,0,2,0,1,0,1,1,2,0,0,0,1,0,1,0,2,0,3,1,0,2,0,1,1,6,1,1,3,0,0,0,3,0,5,3,7,0,3,31.0,0.0,14.0
2014-04-06,6,0,0,0,1,1,5,0,1,0,2,0,0,1,1,2,1,1,4,3,0,0,1,2,0,0,0,2,1,2,0,0,2,1,0,1,6,1,1,0,2,2,0,0,0,2,1,6,0,0,31.0,0.0,14.0
2014-04-07,0,0,0,0,0,1,3,0,1,0,3,1,0,1,0,1,0,1,1,0,1,0,0,4,0,0,0,2,0,1,1,0,1,2,0,0,0,1,2,1,2,1,0,1,0,0,0,9,0,1,31.0,0.0,14.0
2014-04-08,2,1,0,1,0,1,9,1,0,0,2,1,0,3,0,0,0,0,1,1,0,0,0,4,0,0,1,2,3,1,0,0,1,1,0,0,0,0,1,0,1,2,0,0,0,0,1,5,0,0,31.0,0.0,14.0
2014-04-09,3,0,0,0,0,1,5,0,2,2,0,2,0,3,0,2,1,1,3,0,0,0,0,4,1,1,1,1,4,3,1,1,2,1,1,2,0,0,0,0,1,0,0,0,1,5,0,6,0,4,31.0,0.0,14.0
2014-04-10,3,1,0,0,1,0,10,0,0,0,0,1,0,1,0,4,2,2,1,0,0,0,1,1,0,3,1,2,0,2,0,0,0,2,0,1,0,2,0,0,3,0,0,0,0,1,1,11,0,1,31.0,0.0,14.0
2014-04-11,1,0,2,0,0,1,7,1,0,0,0,1,0,2,0,1,1,0,1,0,1,0,0,2,1,0,1,2,0,4,2,0,0,1,0,1,0,0,2,0,1,1,0,0,0,1,1,11,0,0,31.0,0.0,14.0
2014-04-12,6,1,1,0,1,2,4,1,3,1,1,1,0,1,1,4,0,1,2,1,0,1,0,0,0,5,4,2,3,2,1,1,2,2,2,0,0,1,0,0,1,2,0,1,0,1,11,4,0,2,31.0,0.0,14.0
2014-04-13,2,1,4,0,0,0,5,1,3,2,0,0,0,3,0,2,2,0,5,0,4,0,1,0,1,2,0,3,1,1,1,0,1,3,0,1,0,4,3,0,4,1,0,3,0,1,1,6,0,5,31.0,0.0,14.0
2014-04-14,0,0,0,0,0,1,4,0,2,1,0,4,0,0,0,0,1,3,2,1,0,0,1,1,1,3,0,4,4,2,3,0,1,1,0,1,0,1,0,0,3,2,0,0,0,0,0,14,0,0,31.0,0.0,14.0
2014-04-15,1,0,1,0,0,0,5,1,1,1,3,1,0,2,0,3,2,3,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,2,0,1,0,1,0,0,2,0,0,0,0,0,2,3,0,0,31.0,0.0,14.0
2014-04-16,1,1,1,2,0,1,7,2,2,1,3,2,0,1,0,2,2,0,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,3,0,0,31.0,0.0,14.0
2014-04-17,2,1,0,1,0,1,7,0,2,1,2,2,0,1,1,1,1,1,0,2,0,1,0,3,2,0,0,2,1,1,0,1,3,0,2,0,5,1,1,0,0,0,0,0,0,2,0,9,0,1,31.0,0.0,14.0
2014-04-18,5,1,1,1,1,3,6,1,4,0,1,2,0,3,0,2,1,1,0,1,0,0,0,0,0,0,0,0,4,3,1,2,1,1,2,0,5,0,2,0,0,1,0,1,1,1,0,6,0,0,31.0,0.0,14.0
2014-04-19,2,0,4,0,2,0,6,0,1,1,3,0,0,3,1,2,1,2,1,0,0,0,1,1,0,3,0,0,3,5,4,2,2,1,0,0,0,1,2,2,0,3,0,0,0,0,2,3,1,0,31.0,0.0,14.0
2014-04-20,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,2,0,4,0,1,0,3,2,1,0,0,6,0,0,0,2,0,0,2,0,0,0,6,0,1,31.0,0.0,14.0
2014-04-21,2,0,1,0,0,0,10,0,1,0,0,1,0,2,0,1,1,1,0,0,1,0,2,1,0,0,0,4,2,1,0,0,1,1,1,0,1,0,1,0,3,1,0,0,1,0,0,7,1,0,31.0,0.0,14.0
2014-04-22,3,1,0,1,0,1,6,3,0,0,0,2,0,2,1,1,0,2,2,0,0,0,0,1,0,5,0,1,0,0,4,0,2,3,0,4,2,0,0,0,0,0,0,0,1,1,1,4,0,0,31.0,0.0,14.0
2014-04-23,3,1,0,0,0,2,9,0,0,2,1,1,0,4,0,0,1,2,0,0,0,0,1,2,0,3,0,2,1,1,0,0,1,1,0,2,4,0,0,0,1,0,0,0,0,3,0,2,0,1,31.0,0.0,14.0
